Rk,Year,Date,G#,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Y/A,AY/A
85,2006,2006-10-08,5,29-066,NWE,,MIA,W 20-10,*,16,29,55.17,140,2,0,91.2,1,4.83,6.21
86,2006,2006-10-22,6,29-080,NWE,@,BUF,W 28-6,*,18,27,66.67,195,2,0,112.4,4,7.22,8.7
87,2006,2006-10-30,7,29-088,NWE,@,MIN,W 31-7,*,29,43,67.44,372,4,1,115.6,3,8.65,9.47
88,2006,2006-11-05,8,29-094,NWE,,IND,L 20-27,*,20,35,57.14,201,0,4,34,0,5.74,0.6
89,2006,2006-11-12,9,29-101,NWE,,NYJ,L 14-17,*,24,36,66.67,253,1,1,84.6,4,7.03,6.33
90,2006,2006-11-19,10,29-108,NWE,@,GNB,W 35-0,*,20,31,64.52,244,4,0,128.2,1,7.87,10.45
91,2006,2006-11-26,11,29-115,NWE,,CHI,W 17-13,*,22,33,66.67,267,1,2,76.2,0,8.09,5.97
92,2006,2006-12-03,12,29-122,NWE,,DET,W 28-21,*,27,38,71.05,305,0,1,83.8,2,8.03,6.84
93,2006,2006-12-10,13,29-129,NWE,@,MIA,L 0-21,*,12,25,48,78,0,0,55.1,4,3.12,3.12
94,2006,2006-12-17,14,29-136,NWE,,HOU,W 40-7,*,16,23,69.57,109,2,0,108.8,1,4.74,6.48
95,2006,2006-12-24,15,29-143,NWE,@,JAX,W 24-21,*,28,39,71.79,249,1,0,97.1,1,6.38,6.9
96,2006,2006-12-31,16,29-150,NWE,@,TEN,W 40-23,*,15,24,62.5,225,1,0,107.1,1,9.38,10.21
97,2007,2007-09-09,1,30-037,NWE,@,NYJ,W 38-14,*,22,28,78.57,297,3,0,146.6,0,10.61,12.75
98,2007,2007-09-16,2,30-044,NWE,,SDG,W 38-14,*,25,31,80.65,279,3,1,123,2,9,9.48
99,2007,2007-09-23,3,30-051,NWE,,BUF,W 38-7,*,23,29,79.31,311,4,0,150.9,1,10.72,13.48
100,2007,2007-10-01,4,30-059,NWE,@,CIN,W 34-13,*,25,32,78.13,231,3,1,115,0,7.22,7.69
101,2007,2007-10-07,5,30-065,NWE,,CLE,W 34-17,*,22,38,57.89,265,3,0,105.7,0,6.97,8.55
102,2007,2007-10-14,6,30-072,NWE,@,DAL,W 48-27,*,31,46,67.39,388,5,0,129.6,3,8.43,10.61
103,2007,2007-10-21,7,30-079,NWE,@,MIA,W 49-28,*,21,25,84,354,6,0,158.3,1,14.16,18.96
104,2007,2007-10-28,8,30-086,NWE,,WAS,W 52-7,*,29,38,76.32,306,3,0,125.5,1,8.05,9.63
105,2007,2007-11-04,9,30-093,NWE,@,IND,W 24-20,*,21,32,65.63,255,3,2,95.2,2,7.97,7.03
106,2007,2007-11-18,10,30-107,NWE,@,BUF,W 56-10,*,31,39,79.49,373,5,0,146.1,0,9.56,12.13
107,2007,2007-11-25,11,30-114,NWE,,PHI,W 31-28,*,34,54,62.96,380,1,0,90,3,7.04,7.41
108,2007,2007-12-03,12,30-122,NWE,@,BAL,W 27-24,*,18,38,47.37,257,2,1,76.3,3,6.76,6.63
109,2007,2007-12-09,13,30-128,NWE,,PIT,W 34-13,*,32,46,69.57,399,4,0,125.2,0,8.67,10.41
110,2007,2007-12-16,14,30-135,NWE,,NYJ,W 20-10,*,14,27,51.85,140,0,1,51.5,1,5.19,3.52
111,2007,2007-12-23,15,30-142,NWE,,MIA,W 28-7,*,18,33,54.55,215,3,2,79.7,3,6.52,5.61
112,2007,2007-12-29,16,30-148,NWE,@,NYG,W 38-35,*,32,42,76.19,356,2,0,116.8,1,8.48,9.43
